name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistance,description,source
Invocar Monstruo I,Conjuración,invocación,Ver texto,"Bardo 1, Clérigo 1, Oráculo 1, Hechicero 1, Mago 1, Invocador 1, Invocador Desencadenado 1, Bruja 1, Antipaladín 1, Psíquico 1, Espiritualista 1, Medium 1",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo invoca a una criatura extraplanar (normalmente un forastero, elemental o bestia mágica nativa de otro plano). Aparece donde designas y actúa inmediatamente, en tu turno. Ataca a tus oponentes lo mejor que puede. Si puedes comunicarte con la criatura, puedes dirigirle para que no ataque, para atacar enemigos concretos o para que realice otras acciones. El hechizo conjura a una de las criaturas de la lista de 1er Nivel en la Tabla 10-1. Eliges qué tipo de criatura invocar, y puedes elegir una diferente cada vez que lanzas el hechizo. Un monstruo invocado no puede invocar ni conjurar a otra criatura, ni puede usar habilidades de teletransportación o viaje planar. Las criaturas no pueden ser invocadas en un entorno que no puede sostenerlas. Las criaturas invocadas con este hechizo no pueden usar conjuros o habilidades similares que dupliquen hechizos con componentes materiales costosos (como deseo). Cuando usas un hechizo de invocación para invocar a una criatura con un subtipo de alineamiento o elemental, es un conjuro de ese tipo. Las criaturas de la Tabla 10-1 marcadas con un ""*"" se invocan con la plantilla celestial, si eres bueno, y la plantilla demoníaca, si eres malvado. Si eres neutral, puedes elegir qué plantilla aplicar a la criatura. Las criaturas marcadas con un ""*"" siempre tienen un alineamiento que coincide con el tuyo, independientemente de su alineación habitual. Invocar estas criaturas hace que el tipo de conjuro de invocación coincida con tu alineación.",PFRPG Core
Invocar Monstruo II,Conjuración,invocación,,"Bardo 2, Clérigo 2, Oráculo 2, Hechicero 2, Mago 2, Invocador 2, Invocador Desencadenado 2, Bruja 2, Antipaladín 2, Psíquico 2, Espiritualista 2, Medium 2",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 2 o 1d3 criaturas del mismo tipo de la lista de nivel 1.",PFRPG Core
Invocar Monstruo III,Conjuración,invocación,,"Bardo 3, Clérigo 3, Oráculo 3, Hechicero 3, Mago 3, Bruja 3, Antipaladín 3, Psíquico 3, Espiritualista 3",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 3, 1d3 criaturas del mismo tipo de la lista de nivel 2, o 1d4+1 criaturas del mismo tipo de la lista de nivel 1.",PFRPG Core
Invocar Monstruo IV,Conjuración,invocación,,"Bardo 4, Clérigo 4, Oráculo 4, Hechicero 4, Mago 4, Invocador 3, Invocador Desencadenado 3, Bruja 4, Antipaladín 4, Psíquico 4, Espiritualista 4, Medium 3",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 4, 1d3 criaturas del mismo tipo de la lista de nivel 3, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar Monstruo V,Conjuración,invocación,,"Bardo 5, Clérigo 5, Oráculo 5, Hechicero 5, Mago 5, Invocador 4, Invocador Desencadenado 4, Bruja 5, Psíquico 5, Espiritualista 5, Medium 4",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 5, 1d3 criaturas del mismo tipo de la lista de nivel 4, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar Monstruo VI,Conjuración,invocación,,"Bardo 6, Clérigo 6, Oráculo 6, Hechicero 6, Mago 6, Bruja 6, Psíquico 6, Espiritualista 6, Invocador Desencadenado 5",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 6, 1d3 criaturas del mismo tipo de la lista de nivel 5, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar Monstruo VIII,Conjuración,invocación,,"Clérigo 8, Oráculo 8, Hechicero 8, Mago 8, Bruja 8, Invocador 6, Invocador Desencadenado 6, Psíquico 8",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 8, 1d3 criaturas del mismo tipo de la lista de nivel 7, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar Monstruo VII,Conjuración,invocación,,"Clérigo 7, Oráculo 7, Hechicero 7, Mago 7, Invocador 5, Bruja 7, Psíquico 7, Invocador Desencadenado 6",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 7, 1d3 criaturas del mismo tipo de la lista de nivel 6, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar Monstruo IX,Conjuración,invocación,,"Clérigo 9, Oráculo 9, Hechicero 9, Mago 9, Bruja 9, Psíquico 9",1 ronda,"V, S, F/DF (una bolsa pequeña y una vela pequeña)",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar monstruo I, excepto que puedes invocar una criatura de la lista de nivel 9, 1d3 criaturas del mismo tipo de la lista de nivel 8, o 1d4+1 criaturas del mismo tipo de una lista de nivel inferior.",PFRPG Core
Invocar al aliado de la naturaleza I,Conjuración,invocación,,"Druida 1, Explorador 1",1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo invoca a tu lado a una criatura natural (normalmente un animal, un feérico, una bestia mágica, un forastero con el subtipo elemental o un gigante). El aliado invocado aparece donde designas y actúa inmediatamente, en tu turno. Ataca a tus oponentes lo mejor que puede. Si puedes comunicarte con la criatura, puedes indicarle que no ataque, que ataque a enemigos concretos o que realice otras acciones según ordenes. Un monstruo invocado no puede invocar ni conjurar a otra criatura, ni puede usar habilidades de teletransportación o viaje planar. Las criaturas no pueden ser invocadas en un entorno que no puede sostenerlas. Las criaturas invocadas con este hechizo no pueden usar hechizos o habilidades similares a hechizos que dupliquen conjuros que tengan componentes materiales costosos (como deseo). El hechizo conjura a una de las criaturas de la lista de Nivel 1 en la Mesa 10-2. Eliges qué tipo de criatura invocar, y puedes cambiar esa elección cada vez que lanzas el hechizo. Todas las criaturas de la mesa son neutrales salvo que se indique lo contrario. Cuando usas un hechizo de invocación para invocar a una criatura con un subtipo de alineamiento o elemental, es un conjuro de ese tipo. Todas las criaturas invocadas con este hechizo sin subtipos de alineamiento tienen un alineamiento que coincide con el tuyo, independientemente de su alineación habitual. Invocar estas criaturas hace que el tipo de conjuro de invocación coincida con tu alineación.",PFRPG Core
Invoca al aliado de la naturaleza II,Conjuración,invocación,,"Druida 2, Explorador 2",1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar aliado de la naturaleza I, excepto que invocas una criatura de nivel 2 o criaturas de 1º nivel 1 de 1º tipo 1d3.",PFRPG Core
Invocar al aliado de la naturaleza III,Conjuración,invocación,Ver texto,"Druida 3, Explorador 3",1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar aliado de la naturaleza I, excepto que puedes invocar una criatura de nivel 3, criaturas de nivel 2 1d3 del mismo tipo, o 1d4+1 criaturas de nivel 1 del mismo tipo.",PFRPG Core
Invoca al aliado de la naturaleza IV,Conjuración,invocación,Ver texto,"Druida 4, Explorador 4",1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar aliado de la naturaleza I, excepto que puedes invocar una criatura de nivel 4, 1d3 criaturas de nivel 3 del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invocar al aliado de la naturaleza V,Conjuración,invocación,Ver texto,Druida 5,1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar aliado de la naturaleza I, excepto que puedes invocar una criatura de nivel 5, 1d3 criaturas de 4º nivel del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invocar al Aliado de la Naturaleza VI,Conjuración,invocación,Ver texto,Druida 6,1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar aliado de la naturaleza I, excepto que puedes invocar una criatura de nivel 6, 1d3 criaturas de nivel 5 del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invocar al Aliado de la Naturaleza VII,Conjuración,invocación,Ver texto,Druida 7,1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar a Nature Ally I, excepto que puedes invocar una criatura de nivel 7, 1d3 criaturas de nivel 6 del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invoca al aliado de la naturaleza VIII,Conjuración,invocación,Ver texto,Druida 8,1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar a la Aliada de la Naturaleza I, excepto que puedes invocar una criatura de nivel 8, 1d3 criaturas de nivel 7 del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invocar al aliado de la naturaleza IX,Conjuración,invocación,Ver texto,Druida 9,1 ronda,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,una criatura invocada,,1 ronda/nivel,1,0,ninguno,no,"Este hechizo funciona como invocar al aliado de la naturaleza I, excepto que puedes invocar una criatura de nivel 9, criaturas de nivel 8 de 1d3 del mismo tipo, o 1d4+1 criaturas de nivel inferior del mismo tipo.",PFRPG Core
Invocar Enjambre,Conjuración,invocación,,"Bardo 2, Druida 2, Hechicero 2, Mago 2, Invocador 2, Invocador Desencadenado 2, Bruja 2, Chamán 2",1 ronda,"V, S, M/DF (un cuadrado de tela roja)",0,Cierre (25 pies + 5 pies/2 niveles),,"un enjambre de murciélagos, ratas o arañas",,Concentración + 2 rondas,0,0,ninguno,no,"Invocas un enjambre de murciélagos, ratas o arañas (a tu elección), que atacan a todas las demás criaturas de su área. (Puedes invocar el enjambre para que comparta el área con otras criaturas.) Si no hay criaturas vivas en su área, el enjambre ataca o persigue a la criatura más cercana lo mejor que puede. El lanzador no tiene control sobre su objetivo ni sobre la dirección de su movimiento.",PFRPG Core
Rayo de sol,Evocación,,luz,"Druida 7, Chamán 7",1 Acción estándar,"V, S, DF",0,60 pies.,línea de tu mano,,,1 ronda/nivel o hasta que se agoten todas las vigas,0,0,Reflejos anulan y Reflejos la mitad; Ver texto,Sí,"Durante este hechizo, puedes usar una acción estándar para evocar un deslumbrante haz de luz intensa en cada ronda. Puedes invocar un rayo por cada tres niveles de lanzador (máximo seis rayos en el nivel 18). El hechizo termina cuando se acaba su duración o se agota tu cantidad de rayos. Cada criatura del rayo queda cegada y recibe 4d6 puntos de daño. Cualquier criatura para la que la luz solar sea dañina o antinatural sufre el doble de daño. Una tirada de salvación de Reflejos exitosa anula la ceguera y reduce el daño a la mitad. Una criatura no-muerta atrapada dentro del rayo recibe 1d6 puntos de daño por nivel de lanzador (máximo 20d6), o la mitad de daño si una tirada de salvación de Reflejos tiene éxito. Además, el haz provoca la destrucción de cualquier criatura no-muerta específicamente dañada por luz brillante si falla su salvación. La luz ultravioleta generada por el hechizo causa daño a hongos, moho, babosas y babos, como si fueran criaturas no-muertas.",PFRPG Core
Sunburst,Evocación,,luz,"Druida 8, Hechicero 8, Mago 8, Chamán 8",1 Acción estándar,"V, S, M/DF (piedra solar y fuente de fuego)",0,largo (400 pies + 40 pies por nivel),Ráfaga de radio de 80 pies,,,instantáneo,0,0,Parcial reflejo; Ver texto,Sí,"Sunburst hace que una esfera de radiancia abrasadora explote silenciosamente desde un punto que seleccionas. Todas las criaturas del globo están cegadas y reciben 6d6 puntos de daño. Una criatura a la que la luz solar es dañina o antinatural sufre el doble de daño. Una tirada de salvación de Reflejos exitosa anula la ceguera y reduce el daño a la mitad. Una criatura no-muerta atrapada dentro del globo recibe 1d6 puntos de daño por nivel de lanzador (máximo 25d6), o la mitad de daño si una tirada de salvación de Reflejos tiene éxito. Además, la explosión provoca la destrucción de cualquier criatura no-muerta específicamente dañada por luz brillante si falla su salvación. La luz ultravioleta generada por el hechizo causa daño a hongos, moho, babosas y babos, como si fueran criaturas no-muertas. Ráfaga solar disipa cualquier hechizo de oscuridad inferior al nivel 9 dentro de su área.",PFRPG Core
Símbolo de la muerte,Nigromancia,,Fallecimiento,"Clérigo 8, Oráculo 8, Hechicero 8, Mago 8, Bruja 8, Ocultista 6",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo valorados en 5.000 po cada uno)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La fortaleza anula,Sí,"Este conjuro te permite inscribir una poderosa runa de poder sobre una superficie.
 
 Cuando se activa, un *símbolo de muerte* mata a una o más criaturas en un radio de 60 pies del símbolo —trátalo como una explosión— cuyos puntos de golpe actuales combinados no superen 150. El *símbolo de muerte* afecta primero a las criaturas más cercanas, omitiendo a las criaturas con demasiados puntos de golpe como para verse afectadas.
 
 Una vez activado, el símbolo se vuelve activo y brilla, durando 10 minutos por nivel de lanzador o hasta que haya afectado a criaturas por valor de 150 puntos de golpe, lo que ocurra primero. Una criatura que entre en el área mientras el *símbolo de muerte* está activo queda sujeta a su efecto, estuviera o no en el área cuando se activó. Una criatura solo necesita salvar contra el símbolo una vez mientras permanezca dentro del área, aunque si abandona el área y vuelve mientras el símbolo sigue activo, debe salvar de nuevo.
 
 Hasta que se activa, el *símbolo de muerte* está inactivo, aunque es visible y legible a una distancia de 60 pies. Para ser efectivo, un *símbolo de muerte* debe colocarse siempre a plena vista y en un lugar destacado. Cubrir u ocultar la runa vuelve ineficaz el *símbolo de muerte*, a menos que una criatura retire la cobertura, en cuyo caso el *símbolo de muerte* funciona con normalidad.
 
 Por defecto, un *símbolo de muerte* se activa cuando una criatura realiza una o más de las siguientes acciones, según elijas: mirar la runa, leer la runa, tocar la runa, pasar sobre la runa o atravesar un portal que lleve la runa. Independientemente del método o métodos de activación elegidos, una criatura que esté a más de 60 pies de un *símbolo de muerte* no puede activarlo, aunque cumpla una o más de las condiciones de activación, como leer la runa. Una vez lanzado el conjuro, las condiciones de activación de un *símbolo de muerte* no pueden cambiarse.
 
 En este caso, «leer» la runa significa cualquier intento de estudiarla, identificarla o comprender su significado. Arrojar una cobertura sobre un *símbolo de muerte* para volverlo inoperante lo activa si el símbolo reacciona al contacto. No puedes usar un *símbolo de muerte* de forma ofensiva; por ejemplo, un *símbolo de muerte* activado por contacto no se activa si se usa un objeto que porta el símbolo para tocar a una criatura. Del mismo modo, un *símbolo de muerte* no puede colocarse en un arma y configurarse para activarse cuando el arma golpee a un enemigo.
 
 También puedes establecer limitaciones especiales de activación propias. Estas pueden ser tan simples o elaboradas como desees. Las condiciones especiales para activar un *símbolo de muerte* pueden basarse en el nombre, la identidad o el alineamiento de una criatura, pero por lo demás deben basarse en acciones o cualidades observables. Los intangibles como nivel, clase, DG y puntos de golpe no son válidos.
 
 Al inscribir un *símbolo de muerte*, puedes especificar una contraseña o frase que impida que una criatura que la use active el efecto del símbolo. Cualquiera que use la contraseña permanece inmune a los efectos de esa runa concreta mientras permanezca a 60 pies o menos de la runa. Si la criatura abandona el radio y vuelve más tarde, debe usar la contraseña de nuevo.
 
 También puedes sintonizar cualquier número de criaturas con el *símbolo de muerte*, pero hacerlo puede prolongar el tiempo de lanzamiento. Sintonizar una o dos criaturas requiere un tiempo insignificante, y sintonizar un grupo pequeño —hasta 10 criaturas— prolonga el tiempo de lanzamiento a 1 hora. Sintonizar un grupo grande —hasta 25 criaturas— requiere 24 horas. Sintonizar grupos mayores requiere 24 horas adicionales por cada 25 criaturas. Cualquier criatura sintonizada con un *símbolo de muerte* no puede activarlo y es inmune a sus efectos, incluso si está dentro de su radio cuando se activa. Se considera automáticamente que estás sintonizado con tus propios *símbolos de muerte* y, por tanto, siempre ignoras sus efectos y no puedes activarlos de forma accidental.
 
 *Leer magia* te permite identificar un símbolo con una prueba de Conocimiento de conjuros —CD 10 + el nivel de conjuro del símbolo—. Por supuesto, si el símbolo está configurado para activarse al ser leído, esto activará el símbolo.
 
 Un *símbolo de muerte* puede eliminarse mediante un *disipar magia* con éxito dirigido exclusivamente contra la runa. Un conjuro de *borrar* no tiene efecto sobre un *símbolo de muerte*. La destrucción de la superficie donde está inscrito un *símbolo de muerte* destruye el símbolo, pero también lo activa.
 
 *Símbolo de muerte* puede hacerse permanente con un conjuro de *permanencia*. Un *símbolo de muerte* permanente que sea inutilizado o que haya afectado a su número máximo de puntos de golpe queda inactivo durante 10 minutos, pero después puede activarse de nuevo con normalidad.
 
 **Nota:** las trampas mágicas como *símbolo de muerte* son difíciles de detectar e inutilizar. Solo un pícaro puede usar la habilidad Percepción para encontrar un *símbolo de muerte* e Inutilizar mecanismo para frustrarlo. La CD en cada caso es 25 + nivel del conjuro, o 33 para *símbolo de muerte*.",PFRPG Core
Símbolo del Miedo,Nigromancia,,"miedo, afectación mental, emoción","Clérigo 6, Oráculo 6, Hechicero 6, Mago 6, Bruja 6, Ocultista 4",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 1.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La voluntad niega,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas a menos de 60 pies del símbolo del miedo entran en pánico durante 1 ronda por nivel de lanzador. Nota: Las trampas mágicas como el símbolo del miedo son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de miedo y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25+ nivel de conjuro, o 31 para el símbolo del miedo.",PFRPG Core
Símbolo de la Locura,Encantamiento,Compulsión,afectación mental,"Clérigo 8, Oráculo 8, Hechicero 8, Mago 8, Bruja 8, Ocultista 6",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 5.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La voluntad niega,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas dentro del radio del símbolo de locura se vuelven permanentemente locas (como el hechizo de locura). A diferencia del símbolo de la muerte, el símbolo de la locura no tiene límite de puntos de vida; Una vez activado, un símbolo de locura simplemente permanece activo durante 10 minutos por nivel de lanzador. Nota: Las trampas mágicas como el símbolo de la locura son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de locura y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25 + nivel de conjuro, o 33 para símbolo de locura.",PFRPG Core
Símbolo del Dolor,Nigromancia,,"maldad, dolor","Clérigo 5, Oráculo 5, Hechicero 5, Mago 5, Bruja 5, Ocultista 4, Mesmerista 5",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 1.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La fortaleza anula,Sí,"Este hechizo funciona como símbolo de muerte, salvo que cada criatura dentro del radio de un símbolo de dolor sufre dolores intensos que imponen una penalización de -4 en tiradas de ataque, tiradas de habilidad y pruebas de habilidad. Estos efectos duran 1 hora después de que la criatura se aleje más de 60 pies del símbolo. A diferencia del símbolo de la muerte, el símbolo del dolor no tiene límite de puntos de vida; Una vez activado, un símbolo de dolor simplemente permanece activo durante 10 minutos por nivel de lanzador. Nota: Las trampas mágicas como el símbolo del dolor son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de dolor y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25 + nivel de conjuro, o 30 para el símbolo del dolor.",PFRPG Core
Símbolo de Persuasión,Encantamiento,encanto,afectación mental,"Clérigo 6, Oráculo 6, Hechicero 6, Mago 6, Bruja 6, Ocultista 4, Mesmerista 6",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 5.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La voluntad niega,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas dentro del radio de un símbolo de persuasión son encantadas por el lanzador (como el hechizo de encantar monstruo) durante 1 hora por nivel del lanzador. A diferencia del símbolo de la muerte, el símbolo de persuasión no tiene límite de puntos de vida; Una vez activado, un símbolo de persuasión simplemente permanece activo durante 10 minutos por nivel del lanzador. Nota: Las trampas mágicas como el símbolo de persuasión son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de persuasión y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25 + nivel de conjuro, o 31 para símbolo de persuasión.",PFRPG Core
Símbolo del sueño,Encantamiento,Compulsión,afectación mental,"Clérigo 5, Oráculo 5, Hechicero 5, Mago 5, Bruja 5, Ocultista 4, Mesmerista 5",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 1.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La voluntad niega,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas de 10 HD o menos a menos de 60 pies del símbolo del sueño caen en un sueño catatónico durante 3d6 x 10 minutos. A diferencia del hechizo de sueño, las criaturas dormidas no pueden ser despertadas por medios no mágicos antes de que expire este tiempo. A diferencia del símbolo de la muerte, el símbolo del sueño no tiene límite de puntos de vida; Una vez activado, un símbolo de sueño simplemente permanece activo durante 10 minutos por nivel del lanzador. Nota: Las trampas mágicas como el símbolo del sueño son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de sueño y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25+ nivel de hechizo, o 30 para el símbolo del sueño.",PFRPG Core
Símbolo de la Estupendura,Encantamiento,Compulsión,afectación mental,"Clérigo 7, Oráculo 7, Hechicero 7, Mago 7, Bruja 7, Ocultista 5",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 5.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La voluntad niega,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas a menos de 60 pies de un símbolo de aturdimiento quedan aturdidas durante 1d6 rondas. Nota: Las trampas mágicas como el símbolo de aturdimiento son difíciles de detectar y desactivar. Un pícaro (solo) puede usar la habilidad Percepción para encontrar un símbolo de aturdimiento y Desactivar Dispositivo para frustrarlo. La CD en cada caso es 25+ nivel de conjuro, o 32 para símbolo de aturdimiento.",PFRPG Core
Símbolo de debilidad,Nigromancia,,,"Clérigo 7, Oráculo 7, Hechicero 7, Mago 7, Bruja 7, Ocultista 5",10 minutos,"V, S, M (mercurio y fósforo, además de diamante en polvo y ópalo con un valor total de 5.000 gp)",1,0 pies; Ver texto,,un símbolo,,Ver texto,0,0,La fortaleza anula,Sí,"Este hechizo funciona como símbolo de muerte, excepto que todas las criaturas a menos de 60 pies de un símbolo de debilidad sufren una debilidad paralizante que inflige 3d6 puntos de daño de Fuerza. A diferencia del símbolo de la muerte, el símbolo de debilidad no tiene límite de puntos de vida; Una vez activado, un símbolo de debilidad simplemente permanece activo durante 10 minutos por nivel de lanzador. Una criatura solo puede verse afectada por este símbolo una vez. Nota: Las trampas mágicas como el símbolo de debilidad son difíciles de detectar y desactivar. Mientras que cualquier personaje puede usar Percepción para encontrar un símbolo, solo un personaje con la característica de clase de búsqueda de trampas puede usar Desactivar Dispositivo para desactivarlo. La CD en cada caso es 25 + nivel de conjuro, o 32 para símbolo de debilidad.",PFRPG Core
Vibración simpática,Evocación,,Sonic,bardo 6,10 minutos,"V, S, F (un diapasón)",0,Toque,,,una estructura independiente,Hasta 1 ronda/nivel,0,0,ninguno; Ver texto,Sí,"Al sintonizarte con una estructura independiente, puedes crear una vibración dañina en su interior. Una vez que comienza, la vibración inflige 2d10 puntos de daño por ronda a la estructura objetivo, evitando la dureza. Puedes elegir en el momento de lanzar limitar la duración del hechizo; De lo contrario, dura 1 ronda por nivel. Si el hechizo se lanza sobre un objetivo que no está solo, la piedra circundante disipa el efecto y no se produce ningún daño. La vibración simpática no puede afectar a las criaturas (incluidos los constructos). Dado que una estructura es un objeto no atendido, no tiene tirada de salvación para resistir el efecto.",PFRPG Core
Mis condolencias,Encantamiento,Compulsión,Emociones que afectan la mente,"Druida 9, Hechicero 8, Mago 8, Invocador 6, Invocador Desencadenado 6, Bruja 8, Ocultista 6, Psíquico 8",1 hora,"V, S, M (una gota de miel y perlas trituradas valoradas en 1.500 gp)",1,Cierre (25 pies + 5 pies/2 niveles),,,una ubicación (hasta un cubo de 10 pies/nivel) o un objeto,2 horas/nivel,1,0,Will niega; Ver texto,Sí,"Haces que un objeto o lugar emita vibraciones mágicas que atraen a un tipo específico de criatura inteligente o criaturas de un alineamiento particular, según lo definiste tú. El tipo particular de criatura a ser afectada debe ser nombrado específicamente. Un subtipo de criatura no es lo suficientemente específico. Del mismo modo, debe nombrarse el alineamiento específico. Las criaturas del tipo o alineamiento especificado se sienten eufóricas y felices de estar en la zona o desean tocar o poseer el objeto. La compulsión de quedarse en el área o tocar el objeto es abrumadora. Si la tirada de salvación tiene éxito, la criatura se libera del encantamiento, pero una tirada posterior debe realizarse 1d6 x 10 minutos después. Si esta tirada falla, la criatura afectada intenta regresar al área u objeto. La simpatía contrarresta y disipa la antipatía.",PFRPG Core
